season,home,pts_home,wl_home,away,pts_away,wl_away
1947,GSW,66,1,BOS,54,0
1947,NYK,64,1,GSW,60,0
1947,GSW,62,1,NYK,51,0
1947,BOS,65,0,NYK,90,1
1947,NYK,62,1,BOS,44,0
1947,BOS,77,1,GSW,65,0
1947,BOS,60,0,GSW,63,1
1947,BOS,66,1,NYK,62,0
1947,NYK,45,0,BOS,58,1
1947,GSW,59,1,BOS,43,0
1947,NYK,46,0,BOS,52,1
1947,GSW,65,1,NYK,58,0
1947,NYK,63,0,GSW,71,1
1947,GSW,61,1,BOS,55,0
1947,BOS,49,1,NYK,48,0
1947,GSW,59,0,NYK,61,1
1947,GSW,81,1,BOS,57,0
1947,GSW,76,1,NYK,72,0
1948,BOS,74,0,GSW,79,1
1948,GSW,57,0,BOS,67,1
1948,NYK,78,0,GSW,83,1
1948,BOS,75,0,NYK,91,1
1948,NYK,63,0,BOS,65,1
1948,GSW,59,0,NYK,81,1
1948,BOS,75,0,NYK,79,1
1948,BOS,69,1,GSW,67,0
1948,NYK,71,0,GSW,74,1
1948,GSW,71,0,NYK,99,1
1948,NYK,70,1,BOS,58,0
1948,BOS,70,1,GSW,64,0
1948,NYK,57,0,GSW,63,1
1948,GSW,54,0,BOS,61,1
1948,BOS,58,0,NYK,74,1
1948,BOS,68,0,GSW,77,1
1948,GSW,60,0,NYK,66,1
1948,NYK,66,1,BOS,64,0
1948,BOS,57,0,NYK,68,1
1948,NYK,80,1,BOS,68,0
1948,GSW,69,1,BOS,60,0
1948,NYK,78,1,GSW,47,0
1948,GSW,76,1,NYK,66,0
1948,GSW,82,1,BOS,62,0
1949,DET,76,0,NYK,80,1
1949,GSW,94,1,BOS,73,0
1949,BOS,85,1,GSW,77,0
1949,BOS,77,1,LAL,55,0
1949,GSW,75,0,SAC,83,1
1949,NYK,68,0,LAL,77,1
1949,BOS,84,1,DET,75,0
1949,SAC,95,1,BOS,63,0
1949,SAC,92,1,LAL,75,0
1949,SAC,75,1,NYK,63,0
1949,LAL,72,0,BOS,74,1
1949,DET,80,1,GSW,72,0
1949,NYK,91,1,GSW,86,0
1949,GSW,80,0,DET,90,1
1949,NYK,80,1,DET,70,0
1949,DET,80,1,BOS,74,0
1949,LAL,88,1,GSW,67,0
1949,LAL,94,1,BOS,84,0
1949,NYK,72,0,SAC,73,1
1949,DET,84,1,LAL,74,0
1949,GSW,87,0,BOS,88,1
1949,SAC,105,1,GSW,101,0
1949,BOS,79,0,SAC,87,1
1949,SAC,75,0,LAL,96,1
1949,DET,78,0,NYK,89,1
1949,LAL,67,1,SAC,58,0
1949,GSW,87,1,NYK,78,0
1949,SAC,84,1,DET,64,0
1949,BOS,77,1,NYK,75,0
1949,DET,78,0,SAC,83,1
1949,GSW,72,1,LAL,64,0
1949,NYK,97,1,LAL,79,0
1949,GSW,80,1,BOS,77,0
1949,LAL,99,1,SAC,90,0
1949,NYK,77,1,SAC,74,0
1949,LAL,92,1,DET,72,0
1949,NYK,88,1,GSW,80,0
1949,DET,69,0,BOS,90,1
1949,BOS,67,0,NYK,69,1
1949,GSW,67,0,DET,73,1
1949,SAC,83,1,GSW,71,0
1949,NYK,81,1,BOS,64,0
1949,BOS,79,0,GSW,104,1
1949,SAC,73,1,DET,62,0
1949,LAL,83,1,DET,65,0
1949,SAC,103,1,NYK,98,0
1949,LAL,89,1,GSW,71,0
1949,DET,80,0,SAC,81,1
1949,DET,88,1,GSW,80,0
1949,GSW,102,1,NYK,96,0
1949,NYK,73,0,GSW,78,1
1949,BOS,68,0,SAC,76,1
1949,DET,79,0,LAL,82,1
1949,GSW,76,0,LAL,78,1
1949,SAC,80,1,DET,61,0
1949,LAL,74,0,SAC,85,1
1949,DET,89,1,GSW,87,0
1949,LAL,95,1,NYK,75,0
1949,NYK,85,1,DET,58,0
1949,DET,82,1,NYK,73,0
1949,GSW,86,1,NYK,82,0
1949,BOS,71,0,LAL,85,1
1949,NYK,77,0,BOS,87,1
1949,NYK,74,0,LAL,101,1
1949,SAC,92,1,GSW,86,0
1949,LAL,77,1,DET,73,0
1949,SAC,64,1,BOS,59,0
1949,DET,74,1,LAL,50,0
1949,BOS,76,1,DET,70,0
1949,NYK,66,1,BOS,61,0
1949,DET,66,0,SAC,78,1
1949,BOS,63,1,DET,60,0
1949,LAL,74,1,BOS,67,0
1949,GSW,71,0,SAC,73,1
1949,BOS,108,1,GSW,100,0
1949,LAL,100,1,NYK,90,0
1949,BOS,86,1,SAC,83,0
1949,NYK,89,0,SAC,94,1
1949,BOS,70,1,NYK,56,0
1949,SAC,85,0,LAL,99,1
1949,LAL,91,1,GSW,78,0
1950,GSW,69,0,LAL,81,1
1950,DET,87,1,NYK,72,0
1950,SAC,83,1,GSW,53,0
1950,ATL,72,0,NYK,76,1
1950,PHI,82,1,GSW,72,0
1950,BOS,84,0,LAL,98,1
1950,SAC,94,1,NYK,73,0
1950,PHI,80,1,NYK,66,0
1950,SAC,93,1,ATL,81,0
1950,NYK,74,0,PHI,77,1
1950,GSW,93,1,BOS,80,0
1950,PHI,79,1,ATL,76,0
1950,ATL,85,0,DET,88,1
1950,NYK,85,1,GSW,69,0
1950,DET,99,1,BOS,89,0
1950,ATL,80,1,BOS,72,0
1950,GSW,70,0,NYK,75,1
1950,BOS,85,0,DET,99,1
1950,NYK,96,1,BOS,84,0
1950,DET,72,0,NYK,77,1
1950,LAL,102,1,NYK,92,0
1950,BOS,71,0,PHI,87,1
1950,DET,74,1,GSW,70,0
1950,GSW,79,0,SAC,82,1
1950,ATL,87,1,BOS,82,0
1950,LAL,95,1,SAC,80,0
1950,ATL,69,0,PHI,77,1
1950,DET,87,1,LAL,66,0
1950,BOS,91,1,GSW,87,0
1950,SAC,69,1,PHI,63,0
1950,LAL,90,1,GSW,81,0
1950,PHI,96,1,DET,83,0
1950,NYK,94,1,LAL,84,0
1950,DET,69,1,SAC,66,0
1950,LAL,77,1,BOS,72,0
1950,SAC,87,1,LAL,62,0
1950,ATL,84,0,PHI,96,1
1950,BOS,87,1,LAL,69,0
1950,SAC,88,1,BOS,79,0
1950,LAL,72,1,DET,58,0
1950,ATL,76,0,LAL,78,1
1950,NYK,80,0,SAC,83,1
1950,BOS,97,1,NYK,78,0
1950,DET,81,1,ATL,75,0
1950,GSW,72,0,NYK,79,1
1950,PHI,64,1,GSW,62,0
1950,SAC,97,1,DET,79,0
1950,BOS,92,1,DET,73,0
1950,GSW,62,0,DET,65,1
1950,NYK,81,1,GSW,59,0
1950,DET,80,1,BOS,72,0
1950,LAL,91,1,DET,75,0
1950,PHI,82,1,ATL,73,0
1950,GSW,91,1,SAC,73,0
1950,SAC,85,1,GSW,68,0
1950,NYK,80,0,DET,88,1
1950,LAL,85,1,BOS,80,0
1950,LAL,98,1,PHI,88,0
1950,DET,62,0,PHI,64,1
1950,NYK,82,1,BOS,80,0
1950,SAC,83,1,LAL,77,0
1950,DET,81,1,GSW,67,0
1950,LAL,85,1,SAC,73,0
1950,BOS,79,0,LAL,105,1
1950,GSW,94,1,BOS,86,0
1950,ATL,65,0,SAC,70,1
1950,BOS,86,1,GSW,63,0
1950,NYK,83,0,LAL,94,1
1950,GSW,90,1,LAL,89,0
1950,NYK,81,1,SAC,71,0
1950,GSW,87,1,DET,74,0
1950,NYK,96,1,DET,66,0
1950,PHI,76,1,SAC,72,0
1950,BOS,89,1,DET,68,0
1950,NYK,55,0,GSW,58,1
1950,SAC,82,1,BOS,75,0
1950,DET,92,1,NYK,70,0
1950,BOS,72,0,SAC,85,1
1950,ATL,83,1,NYK,77,0
1950,LAL,96,1,NYK,81,0
1950,GSW,68,0,SAC,82,1
1950,ATL,91,1,PHI,83,0
1950,DET,78,0,LAL,79,1
1950,GSW,83,1,ATL,72,0
1950,NYK,65,0,SAC,73,1
1950,LAL,100,1,GSW,67,0
1950,ATL,99,1,GSW,94,0
1950,DET,61,0,GSW,64,1
1950,SAC,84,0,DET,92,1
1950,LAL,88,1,BOS,70,0
1950,DET,76,1,SAC,74,0
1950,DET,84,1,BOS,78,0
1950,LAL,92,1,SAC,70,0
1950,PHI,105,1,ATL,74,0
1950,BOS,73,0,SAC,81,1
1950,GSW,67,0,DET,68,1
1950,NYK,80,0,DET,84,1
1950,SAC,94,1,BOS,73,0
1950,SAC,105,1,NYK,92,0
1950,GSW,73,0,NYK,84,1
1950,BOS,82,1,GSW,77,0
1950,SAC,66,1,LAL,64,0
1950,LAL,80,1,ATL,66,0
1950,LAL,71,1,DET,65,0
1950,GSW,77,1,BOS,64,0
1950,BOS,72,0,NYK,81,1
1950,GSW,66,1,LAL,61,0
1950,NYK,75,0,LAL,84,1
1950,SAC,73,1,DET,70,0
1950,DET,60,0,SAC,65,1
1950,PHI,84,1,LAL,75,0
1950,LAL,68,1,GSW,65,0
1950,SAC,78,1,BOS,59,0
1950,SAC,90,1,GSW,72,0
1950,PHI,96,1,BOS,72,0
1950,LAL,87,1,NYK,66,0
1950,NYK,88,1,BOS,84,0
1950,BOS,96,0,NYK,98,1
1950,ATL,88,0,PHI,89,1
1950,SAC,77,1,NYK,74,0
1950,DET,69,1,LAL,67,0
1950,SAC,76,0,LAL,78,1
1951,DET,107,1,BOS,84,0
1951,PHI,92,1,DET,77,0
1951,ATL,79,1,BOS,65,0
1951,SAC,95,1,DET,71,0
1951,ATL,87,1,NYK,76,0
1951,GSW,77,1,BOS,68,0
1951,PHI,90,1,LAL,87,0
1951,ATL,98,1,NYK,95,0
1951,DET,87,1,ATL,79,0
1951,BOS,76,1,LAL,71,0
1951,PHI,89,1,ATL,70,0
1951,GSW,87,1,DET,72,0
1951,NYK,74,1,PHI,72,0
1951,SAC,86,1,ATL,77,0
1951,ATL,82,1,SAC,79,0
1951,LAL,83,1,GSW,70,0
1951,DET,89,1,SAC,85,0
1951,LAL,72,1,PHI,71,0
1951,NYK,71,1,LAL,69,0
1951,ATL,79,1,PHI,75,0
1951,NYK,93,1,GSW,87,0
1951,SAC,77,0,LAL,86,1
1951,LAL,90,1,SAC,77,0
1951,PHI,96,1,NYK,83,0
1951,NYK,83,0,BOS,89,1
1951,LAL,18,0,DET,19,1
1951,GSW,89,1,SAC,71,0
1951,BOS,94,1,ATL,78,0
1951,DET,73,1,LAL,63,0
1951,SAC,90,1,BOS,82,0
1951,ATL,85,1,DET,71,0
1951,BOS,93,1,NYK,90,0
1951,GSW,76,1,BOS,74,0
1951,NYK,108,1,PHI,84,0
1951,LAL,85,1,ATL,66,0
1951,NYK,79,1,SAC,74,0
1951,GSW,81,1,PHI,78,0
1951,DET,80,1,SAC,79,0
1951,ATL,92,0,NYK,100,1
1951,LAL,95,1,GSW,83,0
1951,LAL,84,1,NYK,62,0
1951,DET,92,1,GSW,73,0
1951,ATL,76,0,DET,77,1
1951,PHI,69,0,SAC,76,1
1951,BOS,85,0,PHI,86,1
1951,ATL,79,0,LAL,88,1
1951,SAC,99,1,GSW,84,0
1951,LAL,114,1,ATL,101,0
1951,GSW,101,1,NYK,91,0
1951,BOS,87,1,DET,81,0
1951,LAL,72,0,SAC,82,1
1951,GSW,94,1,DET,82,0
1951,PHI,69,0,ATL,78,1
1951,NYK,86,1,DET,77,0
1951,ATL,71,0,LAL,86,1
1951,SAC,75,0,PHI,79,1
1951,DET,99,0,ATL,103,1
1951,PHI,95,1,NYK,86,0
1951,BOS,88,1,SAC,75,0
1951,GSW,71,1,LAL,67,0
1951,NYK,86,1,BOS,80,0
1951,ATL,86,1,PHI,83,0
1951,DET,97,1,PHI,72,0
1951,BOS,87,1,LAL,81,0
1951,SAC,77,1,DET,65,0
1951,NYK,83,1,GSW,79,0
1951,PHI,81,1,DET,69,0
1951,SAC,90,1,BOS,77,0
1951,GSW,84,0,NYK,86,1
1951,BOS,102,1,PHI,100,0
1951,GSW,74,0,NYK,79,1
1951,DET,68,0,SAC,74,1
1951,SAC,75,1,LAL,67,0
1951,GSW,91,1,PHI,88,0
1951,NYK,77,1,BOS,60,0
1951,LAL,83,1,GSW,73,0
1951,ATL,110,1,DET,100,0
1951,BOS,100,1,NYK,90,0
1951,DET,83,1,LAL,70,0
1951,PHI,106,1,BOS,89,0
1951,ATL,109,1,GSW,92,0
1951,SAC,91,1,NYK,88,0
1951,ATL,82,0,BOS,84,1
1951,LAL,86,1,DET,64,0
1951,PHI,77,0,LAL,80,1
1951,LAL,69,1,BOS,54,0
1951,NYK,85,0,PHI,87,1
1951,DET,76,0,NYK,79,1
1951,LAL,69,1,SAC,57,0
1951,NYK,75,1,DET,70,0
1951,ATL,96,0,PHI,97,1
1951,LAL,70,1,NYK,65,0
1951,ATL,109,0,LAL,113,1
1951,DET,84,1,PHI,76,0
1951,GSW,82,1,SAC,79,0
1951,GSW,87,0,BOS,97,1
1951,SAC,99,1,DET,78,0
1951,BOS,98,1,GSW,73,0
1951,DET,94,1,ATL,85,0
1951,PHI,92,1,SAC,63,0
1951,SAC,97,1,ATL,89,0
1951,BOS,105,1,ATL,85,0
1951,PHI,87,0,SAC,96,1
1951,NYK,95,1,LAL,78,0
1951,ATL,91,1,BOS,85,0
1951,LAL,89,1,DET,70,0
1951,SAC,87,0,GSW,101,1
1951,LAL,89,1,ATL,82,0
1951,DET,106,0,BOS,112,1
1951,NYK,88,1,SAC,83,0
1951,PHI,86,0,GSW,96,1
1951,GSW,88,1,ATL,77,0
1951,SAC,102,1,NYK,92,0
