team,wins,games,win_perc,pts_made,pts_allow,pyth_exp
ATL,2583,5189,0.4978,531868,533111,0.4988
BKN,1551,3622,0.4282,369031,376958,0.4894
BOS,3105,5256,0.5908,554328,539600,0.5135
CHA,1132,2549,0.4441,256910,261911,0.4904
CHI,2147,4189,0.5125,429550,428070,0.5017
CLE,1853,3943,0.4699,399130,402790,0.4954
DAL,1706,3379,0.5049,350205,349939,0.5004
DEN,1790,3623,0.4941,389525,391353,0.4977
DET,2484,5225,0.4754,532200,535839,0.4966
GSW,2476,5247,0.4719,555153,559188,0.4964
HOU,2154,4196,0.5133,441320,439578,0.502
IND,1798,3623,0.4963,374059,373393,0.5009
LAC,1638,3950,0.4147,407568,418822,0.4864
LAL,3100,5233,0.5924,556559,543548,0.5118
MEM,915,2147,0.4262,212327,216995,0.4891
MIA,1409,2721,0.5178,269527,268667,0.5016
MIL,2168,4115,0.5269,431182,426042,0.506
MIN,1060,2630,0.403,265117,271632,0.4879
NOP,755,1604,0.4707,162833,164107,0.4961
NYK,2524,2525,0.4806,535672,538020,0.4978
OKC,2232,4196,0.5319,442762,438854,0.5044
ORL,1248,2639,0.4729,266933,269012,0.4961
PHI,2658,5190,0.5121,539556,538683,0.5008
PHX,2231,4115,0.5422,444019,438076,0.5067
POR,2123,3952,0.5372,414827,409947,0.5059
SAC,2361,5230,0.4514,546276,554560,0.4925
SAS,2181,3621,0.6023,380542,369416,0.5148
TOR,1037,2146,0.4832,216600,216982,0.4991
UTA,2030,3704,0.5481,383725,377880,0.5077
WAS,2052,4516,0.4544,471509,477840,0.4933
